customer_id,first_name,last_name,phone,email,street,location_label,state,zip_code,latitude,longitude
1,Debra,Burks,NULL,debra.burks@yahoo.com,9273 Thorne Ave. ,"Orchard Park, NY",NY,14127,42.7664,-78.7439
2,Kasha,Todd,NULL,kasha.todd@yahoo.com,910 Vine Street ,"Campbell, CA",CA,95008,37.2872,-121.95
3,Tameka,Fisher,NULL,tameka.fisher@aol.com,769C Honey Creek St. ,"Redondo Beach, CA",CA,90278,33.8492,-118.3884
4,Daryl,Spence,NULL,daryl.spence@aol.com,988 Pearl Lane ,"Uniondale, NY",NY,11553,40.7001,-73.5929
5,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr. ,"Sacramento, CA",CA,95820,38.5816,-121.4944
6,Lyndsey,Bean,NULL,lyndsey.bean@hotmail.com,769 West Road ,"Fairport, NY",NY,14450,43.0984,-77.4422
7,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,7014 Manor Station Rd. ,"Buffalo, NY",NY,14215,42.8864,-78.8784
8,Jacquline,Duncan,NULL,jacquline.duncan@yahoo.com,15 Brown St. ,"Jackson Heights, NY",NY,11372,40.7557,-73.8831
9,Genoveva,Baldwin,NULL,genoveva.baldwin@msn.com,8550 Spruce Drive ,"Port Washington, NY",NY,11050,42.0,-73.0
10,Pamelia,Newman,NULL,pamelia.newman@gmail.com,476 Chestnut Ave. ,"Monroe, NY",NY,10950,41.3304,-74.1865
11,Deshawn,Mendoza,NULL,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,"Monsey, NY",NY,10952,41.1112,-74.0682
12,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,486 Rock Maple Street ,"Hempstead, NY",NY,11550,42.0,-73.0
13,Lashawn,Ortiz,NULL,lashawn.ortiz@msn.com,27 Washington Rd. ,"Longview, TX",TX,75604,32.5007,-94.7405
14,Garry,Espinoza,NULL,garry.espinoza@hotmail.com,7858 Rockaway Court ,"Forney, TX",TX,75126,32.7482,-96.4719
